n	DM1w	DM1	"DM1+2"	"DN1+2"	"M"	"N"	
3	0.0007835415	0.0008341996	0.0008964715	0.0008276930	0.0008066175	0.0007770183	
4	0.0007764835	0.0008008838	0.0008119474	0.0008450649	0.0008777541	0.0008735457	
5	0.0008670404	0.0008565745	0.0008619916	0.0008572343	0.0008586478	0.0008611100	
6	0.0008674009	0.0008624809	0.0008607493	0.0008536178	0.0008610240	0.0008556508	
7	0.0008595625	0.0008544963	0.0008576816	0.0008513722	0.0008537772	0.0008588604	
8	0.0008629423	0.0008577595	0.0008642367	0.0008539677	0.0008604907	0.0008530823	
9	0.0008603022	0.0008636886	0.0008718550	0.0008593006	0.0008583778	0.0008542211	
10	0.0008621967	0.0008626674	0.0008608257	0.0008576436	0.0008561769	0.0008539605	
11	0.0008590428	0.0008570749	0.0008562700	0.0008552130	0.0008601492	0.0008553198	
12	0.0008613052	0.0008612030	0.0008672498	0.0008599195	0.0008599424	0.0008723646	
13	0.0008756006	0.0008640839	0.0008686926	0.0008698287	0.0008710324	0.0008691926	
14	0.0008842588	0.0008707005	0.0008724208	0.0008651590	0.0008679764	0.0008727127	
15	0.0008748999	0.0008842280	0.0008750854	0.0008762919	0.0008777656	0.0008714002	
16	0.0008707201	0.0008719565	0.0008677527	0.0008667142	0.0008853791	0.0009039523	
17	0.0008783812	0.0008743937	0.0008841388	0.0008904516	0.0008848961	0.0009382216	
18	0.0008996835	0.0008982372	0.0008912349	0.0009133706	0.0009005737	0.0010692622	
19	0.0008858386	0.0008872902	0.0008840301	0.0009593145	0.0008943788	0.0014724562	
20	0.0008888994	0.0008812573	0.0008793961	0.0009957477	0.0008971477	0.0021234260	
21	0.0008913300	0.0008864842	0.0008802779	0.0012443905	0.0009227201	0.0057291220	
22	0.0008921306	0.0008881752	0.0008894564	0.0017083960	0.0009220368	0.0147745716	
23	0.0009053375	0.0009055080	0.0008974000	0.0025687367	0.0009501904	0.0435376994	
24	0.0009041524	0.0008989469	0.0009080060	0.0064354310	0.0009811348	0.1985929109	
25	0.0009022641	0.0008961472	0.0009005399	0.0113468914	0.0010070967	--	
26	0.0009081761	0.0009015358	0.0009005710	0.0237322897	0.0010749404	--	
27	0.0009353155	0.0009211560	0.0009209678	0.0840484451	0.0011606488	--	
28	0.0009362021	0.0009242868	0.0009219930	0.1072019909	0.0011773645	--	
29	0.0009041909	0.0008895866	0.0008933240	--	0.0013025894	--	
30	0.0009216360	0.0009055025	0.0009043429	--	0.0015044437	--	
31	0.0009333853	0.0009124744	0.0009164233	--	0.0016978689	--	
32	0.0009612105	0.0009314708	0.0009358062	--	0.0020611267	--	
33	0.0009943312	0.0009620781	0.0009650200	--	0.0028123800	--	
34	0.0010109194	0.0009739888	0.0009787533	--	0.0034776699	--	
35	0.0010413943	0.0010034840	0.0010044982	--	0.0045641758	--	
36	0.0010999104	0.0010488787	0.0010530273	--	0.0065497891	--	
37	0.0011014315	0.0010502463	0.0010558728	--	0.0080671811	--	
38	0.0011563411	0.0010900465	0.0010920956	--	0.0106783834	--	
39	0.0011875000	0.0011181022	0.0011198900	--	0.0159158551	--	
40	0.0012825063	0.0011873640	0.0011951592	--	0.0232258359	--	
41	0.0012911003	0.0011971969	0.0011998344	--	0.0314018630	--	
42	0.0014843229	0.0013350044	0.0013457050	--	0.0483713561	--	
43	0.0014957688	0.0013566743	0.0013612029	--	0.0657938904	--	
44	0.0015456048	0.0013852135	0.0013930875	--	0.0867677927	--	
45	0.0018206168	0.0015856878	0.0015935415	--	0.1328630114	--	
46	0.0019393890	0.0016770445	0.0016996984	--	--	--	
47	0.0024401756	0.0020559692	0.0020604820	--	--	--	
48	0.0023820513	0.0020057601	0.0020435254	--	--	--	
49	0.0029602328	0.0024370385	0.0024420548	--	--	--	
50	0.0041717318	0.0033746893	0.0033674713	--	--	--	
51	0.0041274838	0.0033381416	0.0033463253	--	--	--	
52	0.0039555890	0.0031821701	0.0032213093	--	--	--	
53	0.0040967091	0.0032523234	0.0032899582	--	--	--	
54	0.0048300113	0.0037751754	0.0038154655	--	--	--	
55	0.0053873715	0.0042906830	0.0042826447	--	--	--	
56	0.0066497110	0.0051892376	0.0053342772	--	--	--	
57	0.0106454767	0.0082996361	0.0084723912	--	--	--	
58	0.0072725156	0.0056689100	0.0057648422	--	--	--	
59	0.0112858582	0.0088337867	0.0088787241	--	--	--	
60	0.0087912035	0.0067956323	0.0068451976	--	--	--	
61	0.0135112027	0.0105257418	0.0106676477	--	--	--	
62	0.0140585941	0.0108508258	0.0109550337	--	--	--	
63	0.0170466071	0.0130999833	0.0132390266	--	--	--	
64	0.0095484527	--	--	--	--	--	
65	0.0189267284	--	--	--	--	--	
66	0.0453445623	--	--	--	--	--	
67	0.0730633025	--	--	--	--	--	
68	0.0423474252	--	--	--	--	--	
69	0.0582896212	--	--	--	--	--	
70	0.0399673793	--	--	--	--	--	
71	0.0683284018	--	--	--	--	--	
72	0.0297183086	--	--	--	--	--	
73	0.0593969912	--	--	--	--	--	
74	0.0265163233	--	--	--	--	--	
75	0.0412253049	--	--	--	--	--	
76	0.0609505040	--	--	--	--	--	
77	0.1418239453	--	--	--	--	--	
78	--	--	--	--	--	--	
79	--	--	--	--	--	--	
80	--	--	--	--	--	--	
81	--	--	--	--	--	--	
82	--	--	--	--	--	--	
83	--	--	--	--	--	--	
84	--	--	--	--	--	--	
85	--	--	--	--	--	--	
