n	DM1w	DM1	"DM1+2"	"DN1+2"	"M"	"N"	
3	0.0014526844	0.0029561520	0.0090115070	0.0021548271	0.0013678074	0.0013010502	
4	0.0013735294	0.0022599697	0.0033831596	0.0018081665	0.0017971992	0.0020513535	
5	0.0019967556	0.0018081665	0.0019409657	0.0017199516	0.0026638508	0.0019454956	
6	0.0018529892	0.0019233227	0.0024144650	0.0019156933	0.0021359921	0.0017683506	
7	0.0018320084	0.0016508102	0.0021309853	0.0021042824	0.0016674995	0.0019869804	
8	0.0016882420	0.0019800663	0.0018565655	0.0017127991	0.0025346279	0.0016851425	
9	0.0016562939	0.0020568371	0.0023405552	0.0018613338	0.0017449856	0.0015108585	
10	0.0015895367	0.0018749237	0.0017483234	0.0015456676	0.0015265942	0.0016129017	
11	0.0015313625	0.0016000271	0.0017483234	0.0015480518	0.0016286373	0.0016822815	
12	0.0015227795	0.0015923977	0.0016431808	0.0015809536	0.0014836788	0.0022931099	
13	0.0043566227	0.0033545494	0.0023059845	0.0020585060	0.0019507408	0.0024716854	
14	0.0036160946	0.0017900467	0.0029416084	0.0017480850	0.0017328262	0.0052435398	
15	0.0018875599	0.0033068657	0.0027647018	0.0033020973	0.0036833286	0.0020372868	
16	0.0022280216	0.0023322105	0.0032627583	0.0023133755	0.0024788380	0.0069749355	
17	0.0019440651	0.0019614697	0.0023965836	0.0043349266	0.0021598339	0.0106191635	
18	0.0067150593	0.0048789978	0.0034732819	0.0104000568	0.0046336651	0.0792057514	
19	0.0020005703	0.0020167828	0.0022118092	0.0611269474	0.0020782948	0.3138360977	
20	0.0017654896	0.0019407272	0.0021588802	0.0897164345	0.0022962093	0.5372762680	
21	0.0019431114	0.0018379688	0.0016610622	0.4037315845	0.0036859512	2.3830614090	
22	0.0036973953	0.0022094250	0.0024161339	0.8237411976	0.0034828186	12.4050590992	
23	0.0029516220	0.0040075779	0.0023930073	1.7352368832	0.0041148663	33.0457203388	
24	0.0029556751	0.0027415752	0.0038945675	6.8872532845	0.0061461926	338.4461886883	
25	0.0031428337	0.0025589466	0.0034019947	46.1043939590	0.0074145794	--	
26	0.0045721531	0.0038220882	0.0039029121	42.5990369320	0.0145602226	--	
27	0.0050706863	0.0049245358	0.0044519901	147.8307507038	0.0159876347	--	
28	0.0100748539	0.0086181164	0.0091669559	179.7763383389	0.0343677998	--	
29	0.0096874237	0.0080866814	0.0083801746	--	0.0359301567	--	
30	0.0170817375	0.0136039257	0.0140390396	--	0.0624098778	--	
31	0.0348007679	0.0268862247	0.0287065506	--	0.2191131115	--	
32	0.0246150494	0.0203487873	0.0207798481	--	0.1756460667	--	
33	0.0409491062	0.0304799080	0.0313367844	--	0.4279863834	--	
34	0.0368263721	0.0286972523	0.0313987732	--	1.0514779091	--	
35	0.0414881706	0.0332114697	0.0334663391	--	0.6913130283	--	
36	0.1550481319	0.1101539135	0.1080014706	--	2.0191740990	--	
37	0.1173577309	0.0928955078	0.0929963589	--	2.2354567051	--	
38	0.1753463745	0.1200637817	0.1265857220	--	2.2874152660	--	
39	0.1593647003	0.1179161072	0.1135673523	--	7.4693934917	--	
40	0.1548609734	0.1066339016	0.1085460186	--	5.2467749119	--	
41	0.1368901730	0.0946927071	0.0945031643	--	7.3677859306	--	
42	0.2429776192	0.1615476608	0.1720061302	--	12.0779566765	--	
43	0.3049044609	0.2169835567	0.2185163498	--	22.6088507175	--	
44	0.3484430313	0.2476012707	0.2506957054	--	17.2887220383	--	
45	0.8578963280	0.6207046509	0.6338653564	--	28.8324265480	--	
46	1.1498751640	0.8367979527	0.8956444263	--	--	--	
47	1.3103401661	0.9807088375	0.9989960194	--	--	--	
48	2.4268133640	1.7559909821	1.8839802742	--	--	--	
49	1.3134088516	0.9560048580	0.9546356201	--	--	--	
50	3.8196055889	3.0019688606	3.0167789459	--	--	--	
51	4.3167066574	3.4269120693	3.3063869476	--	--	--	
52	3.4266827106	2.6395223141	2.6668531895	--	--	--	
53	3.8251197338	2.9105625153	2.9477884769	--	--	--	
54	6.4554538727	4.8344860077	4.9096093178	--	--	--	
55	5.7992260456	4.2586846352	4.3224406242	--	--	--	
56	9.7823464870	7.1980364323	7.9575746059	--	--	--	
57	14.9207210541	11.4374837875	12.1709749699	--	--	--	
58	10.5777535439	7.9877734184	8.1251823902	--	--	--	
59	19.0608608723	15.0657444000	15.4795858860	--	--	--	
60	7.5141439438	5.6376147270	5.6409416199	--	--	--	
61	24.3804433346	19.6130850315	19.7217373848	--	--	--	
62	21.5659115314	16.3869502544	16.7675356865	--	--	--	
63	29.9333512783	22.9223296642	22.9591450691	--	--	--	
64	9.9741778374	--	--	--	--	--	
65	45.8559417725	--	--	--	--	--	
66	242.5521786213	--	--	--	--	--	
67	139.5078299046	--	--	--	--	--	
68	93.3611080647	--	--	--	--	--	
69	355.6922073364	--	--	--	--	--	
70	206.9736056328	--	--	--	--	--	
71	170.8471415043	--	--	--	--	--	
72	39.9108145237	--	--	--	--	--	
73	141.8491442204	--	--	--	--	--	
74	28.9987430573	--	--	--	--	--	
75	47.3467597961	--	--	--	--	--	
