n	DM1w	DM1	"DM1+2"	"DN1+2"	"M"	"N"	
3	0.0007624626	0.0008039474	0.0008187294	0.0008056164	0.0007929802	0.0007541180	
4	0.0007529259	0.0007810593	0.0007848740	0.0008265972	0.0008521080	0.0008447170	
5	0.0008466244	0.0008356571	0.0008397102	0.0008361340	0.0008380413	0.0008399487	
6	0.0008459091	0.0008425713	0.0008404255	0.0008327961	0.0008409023	0.0008356571	
7	0.0008401871	0.0008342266	0.0008366108	0.0008306503	0.0008327961	0.0008382797	
8	0.0008420944	0.0008380413	0.0008435249	0.0008339882	0.0008397102	0.0008330345	
9	0.0008416176	0.0008428097	0.0008471012	0.0008378029	0.0008399487	0.0008349419	
10	0.0008435249	0.0008423328	0.0008423328	0.0008387566	0.0008373260	0.0008347034	
11	0.0008409023	0.0008373260	0.0008368492	0.0008366108	0.0008401871	0.0008358955	
12	0.0008416176	0.0008420944	0.0008456707	0.0008423328	0.0008423328	0.0008468628	
13	0.0008509159	0.0008444786	0.0008461475	0.0008449554	0.0008485317	0.0008471012	
14	0.0008542538	0.0008502007	0.0008482933	0.0008444786	0.0008471012	0.0008468628	
15	0.0008533001	0.0008580685	0.0008475780	0.0008473396	0.0008516312	0.0008459091	
16	0.0008492470	0.0008473396	0.0008475780	0.0008409023	0.0008585453	0.0008590221	
17	0.0008533001	0.0008490086	0.0008549690	0.0008578300	0.0008602142	0.0008664131	
18	0.0008649826	0.0008649826	0.0008621216	0.0008614063	0.0008668900	0.0008833408	
19	0.0008594990	0.0008597374	0.0008578300	0.0008621216	0.0008652210	0.0008928776	
20	0.0008609295	0.0008542538	0.0008556843	0.0008635521	0.0008668900	0.0009078979	
21	0.0008642673	0.0008602142	0.0008573532	0.0008685589	0.0008823872	0.0009372234	
22	0.0008625984	0.0008618832	0.0008621216	0.0008735657	0.0008802414	0.0009682178	
23	0.0008697510	0.0008718967	0.0008678436	0.0008885860	0.0008978844	0.0010077953	
24	0.0008680820	0.0008652210	0.0008759499	0.0008869171	0.0009036064	0.0010480881	
25	0.0008656979	0.0008633137	0.0008661747	0.0009117126	0.0009138584	--	
26	0.0008673668	0.0008652210	0.0008647442	0.0009038448	0.0009360313	--	
27	0.0008773804	0.0008726120	0.0008726120	0.0009148121	0.0009534359	--	
28	0.0008771420	0.0008730888	0.0008728504	0.0009257793	0.0009231567	--	
29	0.0008432865	0.0008368492	0.0008394718	--	0.0009436607	--	
30	0.0008463860	0.0008435249	0.0008420944	--	0.0009746552	--	
31	0.0008461475	0.0008409023	0.0008451939	--	0.0010037422	--	
32	0.0008563995	0.0008444786	0.0008468628	--	0.0010433197	--	
33	0.0008559227	0.0008487701	0.0008490086	--	0.0010952950	--	
34	0.0008583069	0.0008473396	0.0008502007	--	0.0011439323	--	
35	0.0008594990	0.0008556843	0.0008523464	--	0.0011970997	--	
36	0.0008578300	0.0008549690	0.0008568764	--	0.0012910366	--	
37	0.0008637905	0.0008571148	0.0008614063	--	0.0014004707	--	
38	0.0008699894	0.0008611679	0.0008602142	--	0.0015382767	--	
39	0.0008749962	0.0008680820	0.0008664131	--	0.0016708374	--	
40	0.0008814335	0.0008714199	0.0008726120	--	0.0020112991	--	
41	0.0008831024	0.0008742809	0.0008718967	--	0.0022926331	--	
42	0.0008866787	0.0008735657	0.0008757114	--	0.0026054382	--	
43	0.0008838177	0.0008761883	0.0008785725	--	0.0029933453	--	
44	0.0008919239	0.0008819103	0.0008804798	--	0.0037086010	--	
45	0.0008943081	0.0008859634	0.0008776188	--	0.0041744709	--	
46	0.0009024143	0.0008888245	0.0008919239	--	--	--	
47	0.0009009838	0.0008919239	0.0008888245	--	--	--	
48	0.0009071827	0.0008950233	0.0008931160	--	--	--	
49	0.0009133816	0.0009002686	0.0008964539	--	--	--	
50	0.0009100437	0.0009005070	0.0008974075	--	--	--	
51	0.0009150505	0.0009009838	0.0009012222	--	--	--	
52	0.0009148121	0.0009016991	0.0009043217	--	--	--	
53	0.0009257793	0.0009105206	0.0009083748	--	--	--	
54	0.0009295940	0.0009100437	0.0009131432	--	--	--	
55	0.0009274483	0.0009202957	0.0009164810	--	--	--	
56	0.0009367466	0.0009214878	0.0009179115	--	--	--	
57	0.0009362698	0.0009276867	0.0009248257	--	--	--	
58	0.0009443760	0.0009274483	0.0009305477	--	--	--	
59	0.0009360313	0.0009183884	0.0009224415	--	--	--	
60	0.0009453297	0.0009231567	0.0009217262	--	--	--	
61	0.0009460449	0.0009279251	0.0009284019	--	--	--	
62	0.0009555817	0.0009398460	0.0009410381	--	--	--	
63	0.0009510517	0.0009319782	0.0009312630	--	--	--	
64	0.0009517670	--	--	--	--	--	
65	0.0009675026	--	--	--	--	--	
66	0.0009682178	--	--	--	--	--	
67	0.0009744167	--	--	--	--	--	
68	0.0009801388	--	--	--	--	--	
69	0.0009703636	--	--	--	--	--	
70	0.0009841919	--	--	--	--	--	
71	0.0009968281	--	--	--	--	--	
72	0.0010082722	--	--	--	--	--	
73	0.0009989738	--	--	--	--	--	
74	0.0009977818	--	--	--	--	--	
75	0.0010094643	--	--	--	--	--	
76	0.0009939671	--	--	--	--	--	
77	0.0010204315	--	--	--	--	--	
78	--	--	--	--	--	--	
79	--	--	--	--	--	--	
80	--	--	--	--	--	--	
81	--	--	--	--	--	--	
82	--	--	--	--	--	--	
