n	DM1w	DM1	"DM1+2"	"DN1+2"	"M"	"N"	
3	0.0006666183	0.0006835461	0.0006742477	0.0006780624	0.0006754398	0.0006647110	
4	0.0006670952	0.0006666183	0.0006656647	0.0006709099	0.0007104874	0.0007076263	
5	0.0006935596	0.0006983280	0.0007028580	0.0007019043	0.0007174015	0.0006966591	
6	0.0007011890	0.0007004738	0.0006995201	0.0006988049	0.0007002354	0.0006978512	
7	0.0007123947	0.0007038116	0.0007011890	0.0007023811	0.0007090569	0.0007112026	
8	0.0007154942	0.0007064342	0.0007143021	0.0006940365	0.0007162094	0.0007047653	
9	0.0007121563	0.0007107258	0.0007052422	0.0007009506	0.0007004738	0.0006978512	
10	0.0007038116	0.0007050037	0.0007166862	0.0006988049	0.0007066727	0.0007112026	
11	0.0007090569	0.0006964207	0.0007088184	0.0007066727	0.0007147789	0.0006954670	
12	0.0007169247	0.0007114410	0.0007064342	0.0007004738	0.0007064342	0.0007064342	
13	0.0007097721	0.0007050037	0.0006957054	0.0007011890	0.0007090569	0.0007061958	
14	0.0007033348	0.0007145405	0.0007150173	0.0007092953	0.0007061958	0.0006940365	
15	0.0007052422	0.0007052422	0.0007073879	0.0007038116	0.0007083416	0.0007100105	
16	0.0007023811	0.0007002354	0.0007069111	0.0007033348	0.0007243156	0.0006954670	
17	0.0007073879	0.0007057190	0.0007076263	0.0007109642	0.0007193089	0.0007083416	
18	0.0007109642	0.0007104874	0.0007016659	0.0006997585	0.0007083416	0.0007071495	
19	0.0007166862	0.0007007122	0.0007081032	0.0006942749	0.0007128716	0.0006954670	
20	0.0007133484	0.0006964207	0.0007038116	0.0007090569	0.0007107258	0.0007116795	
21	0.0007061958	0.0007143021	0.0007069111	0.0007002354	0.0007092953	0.0007126331	
22	0.0007100105	0.0006880760	0.0007071495	0.0007004738	0.0007054806	0.0006983280	
23	0.0007147789	0.0007064342	0.0007121563	0.0007133484	0.0007140636	0.0007014275	
24	0.0007059574	0.0007109642	0.0007076263	0.0007047653	0.0007052422	0.0007061958	
25	0.0006926060	0.0007059574	0.0006968975	0.0006957054	0.0007061958	--	
26	0.0007078648	0.0007040501	0.0007021427	0.0007019043	0.0007193089	--	
27	0.0007252693	0.0007050037	0.0007123947	0.0007061958	0.0007038116	--	
28	0.0007004738	0.0006992817	0.0007116795	0.0006904602	0.0006923676	--	
29	0.0006895065	0.0006916523	0.0006902218	--	0.0006997585	--	
30	0.0006918907	0.0006921291	0.0006937981	--	0.0006930828	--	
31	0.0006873608	0.0006906986	0.0006933212	--	0.0006957054	--	
32	0.0006930828	0.0006930828	0.0006916523	--	0.0007002354	--	
33	0.0006923676	0.0006906986	0.0006899834	--	0.0007097721	--	
34	0.0006918907	0.0006885529	0.0006916523	--	0.0007050037	--	
35	0.0006928444	0.0006918907	0.0006928444	--	0.0007007122	--	
36	0.0006961823	0.0006909370	0.0006928444	--	0.0007119179	--	
37	0.0006890297	0.0006930828	0.0006930828	--	0.0007119179	--	
38	0.0006976128	0.0006959438	0.0006942749	--	0.0007154942	--	
39	0.0006945133	0.0006992817	0.0006902218	--	0.0007157326	--	
40	0.0006949902	0.0006928444	0.0006952286	--	0.0007042885	--	
41	0.0006942749	0.0006883144	0.0006895065	--	0.0007147789	--	
42	0.0006937981	0.0006973743	0.0006926060	--	0.0007092953	--	
43	0.0006964207	0.0006923676	0.0006947517	--	0.0007276535	--	
